Aplicacao,PPI,NumTh,NumRep,Throughput,Latencia
Bzip2,spar_np,1,1,22.801777,50676.78737
Bzip2,spar_np,1,2,22.843799,50566.11858
Bzip2,spar_np,1,3,22.851398,50510.72542
Bzip2,spar_np,1,4,22.86038,50506.11935
Bzip2,spar_np,1,5,22.845096,50534.59829
Bzip2,spar_np,1,6,22.874195,50477.45024
Bzip2,spar_np,1,7,22.880373,50451.21991
Bzip2,spar_np,1,8,22.873818,50473.99136
Bzip2,spar_np,2,1,45.517903,25256.84257
Bzip2,spar_np,2,2,45.476086,25279.75105
Bzip2,spar_np,2,3,45.484405,25279.21986
Bzip2,spar_np,2,4,45.404994,25320.33106
Bzip2,spar_np,2,5,45.446828,25313.61704
Bzip2,spar_np,2,6,45.427887,25308.00821
Bzip2,spar_np,2,7,45.381017,25337.45353
Bzip2,spar_np,2,8,45.445094,25287.23548
Bzip2,spar_np,3,1,67.43087,16983.37474
Bzip2,spar_np,3,2,67.353483,16992.4034
Bzip2,spar_np,3,3,67.391254,16984.94568
Bzip2,spar_np,3,4,67.452482,16992.14164
Bzip2,spar_np,3,5,67.163635,17011.53485
Bzip2,spar_np,3,6,67.45373,16967.71783
Bzip2,spar_np,3,7,67.403721,16977.85069
Bzip2,spar_np,3,8,67.298852,17004.44002
Bzip2,spar_np,4,1,87.762662,12980.59369
Bzip2,spar_np,4,2,87.815075,13056.97742
Bzip2,spar_np,4,3,87.579462,12982.33002
Bzip2,spar_np,4,4,87.856787,12972.18895
Bzip2,spar_np,4,5,87.833564,12976.94677
Bzip2,spar_np,4,6,87.893537,12978.28102
Bzip2,spar_np,4,7,87.607606,12966.03056
Bzip2,spar_np,4,8,87.53504,12988.10556
Bzip2,spar_np,5,1,105.812027,10653.1898
Bzip2,spar_np,5,2,105.693124,10670.23725
Bzip2,spar_np,5,3,105.588787,10698.01159
Bzip2,spar_np,5,4,106.175764,10690.14175
Bzip2,spar_np,5,5,106.134268,10641.68034
Bzip2,spar_np,5,6,106.01276,10702.43113
Bzip2,spar_np,5,7,106.281464,10598.6665
Bzip2,spar_np,5,8,106.047597,10691.76079
Bzip2,spar_np,6,1,109.376978,9856.227
Bzip2,spar_np,6,2,114.1071,9780.30576
Bzip2,spar_np,6,3,112.139199,9851.779464
Bzip2,spar_np,6,4,112.42326,9884.134155
Bzip2,spar_np,6,5,109.084239,9822.88224
Bzip2,spar_np,6,6,112.162001,9842.738151
Bzip2,spar_np,6,7,112.400988,9810.023056
Bzip2,spar_np,6,8,110.90954,9867.06965
Bzip2,spar_np,7,1,119.594681,9098.603353
Bzip2,spar_np,7,2,121.964163,9117.842514
Bzip2,spar_np,7,3,118.664438,9106.78758
Bzip2,spar_np,7,4,122.286298,9050.586181
Bzip2,spar_np,7,5,122.702359,9045.593475
Bzip2,spar_np,7,6,121.546202,9089.395493
Bzip2,spar_np,7,7,120.975423,9103.623289
Bzip2,spar_np,7,8,119.957841,9094.832572
Bzip2,spar_np,8,1,128.921535,8523.163832
Bzip2,spar_np,8,2,128.117062,8442.34153
Bzip2,spar_np,8,3,128.475177,8522.821993
Bzip2,spar_np,8,4,130.697068,8536.247465
Bzip2,spar_np,8,5,127.38871,8561.293423
Bzip2,spar_np,8,6,127.786299,8523.736174
Bzip2,spar_np,8,7,129.118957,8512.658464
Bzip2,spar_np,8,8,129.523865,8524.459187
Bzip2,spar_np,9,1,136.70076,8040.936026
Bzip2,spar_np,9,2,136.155061,8028.922162
Bzip2,spar_np,9,3,136.136046,8107.908864
Bzip2,spar_np,9,4,137.592779,8135.705821
Bzip2,spar_np,9,5,135.956887,8039.433974
Bzip2,spar_np,9,6,136.662358,8011.987525
Bzip2,spar_np,9,7,136.705972,8065.659506
Bzip2,spar_np,9,8,137.178624,8077.247377
Bzip2,spar_np,10,1,144.339161,7655.975704
Bzip2,spar_np,10,2,146.049595,7670.203966
Bzip2,spar_np,10,3,144.045161,7612.869056
Bzip2,spar_np,10,4,143.309246,7640.379215
Bzip2,spar_np,10,5,144.191608,7675.75822
Bzip2,spar_np,10,6,144.321329,7634.880111
Bzip2,spar_np,10,7,144.564599,7618.412403
Bzip2,spar_np,10,8,144.742006,7802.902738
Bzip2,spar_np,11,1,152.992591,7198.67425
Bzip2,spar_np,11,2,153.191929,7208.747622
Bzip2,spar_np,11,3,151.96332,7143.511234
Bzip2,spar_np,11,4,153.271224,7172.847839
Bzip2,spar_np,11,5,152.941325,7078.324355
Bzip2,spar_np,11,6,153.58936,7137.399897
Bzip2,spar_np,11,7,152.921103,7107.512059
Bzip2,spar_np,11,8,152.83053,7124.60927
Bzip2,spar_np,12,1,153.27494,6940.880179
Bzip2,spar_np,12,2,153.780593,7049.94995
