Aplicacao,PPI,NumTh,NumRep,Throughput,Latencia
Bzip2,spar_np,1,9,22.876672,50506.0764
Bzip2,spar_np,1,10,22.885182,50456.93298
Bzip2,spar_np,2,9,45.432267,25289.90072
Bzip2,spar_np,2,10,45.481711,25298.60631
Bzip2,spar_np,3,9,67.384153,16969.76677
Bzip2,spar_np,3,10,67.319183,16994.03221
Bzip2,spar_np,4,9,87.586858,12990.66055
Bzip2,spar_np,4,10,87.749792,13046.93465
Bzip2,spar_np,5,9,105.527969,10650.87893
Bzip2,spar_np,5,10,105.42335,10752.22256
Bzip2,spar_np,6,9,113.513887,9830.577274
Bzip2,spar_np,6,10,111.25274,9666.198573
Bzip2,spar_np,7,9,120.929649,9055.896012
Bzip2,spar_np,7,10,119.782238,9078.969039
Bzip2,spar_np,8,9,128.434175,8531.126659
Bzip2,spar_np,8,10,128.020081,8478.096484
Bzip2,spar_np,9,9,136.774445,8139.208726
Bzip2,spar_np,9,10,136.199447,8070.138929
Bzip2,spar_np,10,9,145.934638,7611.172604
Bzip2,spar_np,10,10,143.545614,7710.390461
Bzip2,spar_np,11,9,152.505461,7188.597316
Bzip2,spar_np,11,10,153.668426,7122.174361
Bzip2,spar_np,12,9,152.792161,6875.351003
Bzip2,spar_np,12,10,152.319514,7007.232945
Bzip2,spar(Custom),1,9,22.898619,50401.51327
Bzip2,spar(Custom),1,10,22.8758,50438.49275
Bzip2,spar(Custom),2,9,45.451921,25292.44525
Bzip2,spar(Custom),2,10,45.396289,25328.90318
Bzip2,spar(Custom),3,9,67.373062,16993.54582
Bzip2,spar(Custom),3,10,67.324385,16986.09907
Bzip2,spar(Custom),4,9,87.642386,13007.57341
Bzip2,spar(Custom),4,10,87.679307,12975.05666
Bzip2,spar(Custom),5,9,105.850151,10701.61005
Bzip2,spar(Custom),5,10,106.059005,10649.1683
Bzip2,spar(Custom),6,9,108.592763,9842.214607
Bzip2,spar(Custom),6,10,108.420324,9845.165002
Bzip2,spar(Custom),7,9,122.037288,9002.048051
Bzip2,spar(Custom),7,10,120.60332,9102.624941
Bzip2,spar(Custom),8,9,129.913917,8461.148495
Bzip2,spar(Custom),8,10,127.181234,8519.495616
Bzip2,spar(Custom),9,9,136.139833,8044.693892
Bzip2,spar(Custom),9,10,136.175104,8043.797208
Bzip2,spar(Custom),10,9,144.603822,7635.269512
Bzip2,spar(Custom),10,10,143.649755,7655.290967
Bzip2,spar(Custom),11,9,152.671022,7071.874788
Bzip2,spar(Custom),11,10,153.121164,7236.897911
Bzip2,spar(Custom),12,9,150.250008,6873.739202
Bzip2,spar(Custom),12,10,152.964216,6963.214196
Bzip2,ff_np,1,9,22.987486,130.464637
Bzip2,ff_np,1,10,22.972932,130.487375
Bzip2,ff_np,2,9,45.270452,110.36898
Bzip2,ff_np,2,10,45.283129,110.322548
Bzip2,ff_np,3,9,67.172999,107.468389
Bzip2,ff_np,3,10,67.094838,104.274133
Bzip2,ff_np,4,9,87.754691,102.439399
Bzip2,ff_np,4,10,87.816252,102.358568
Bzip2,ff_np,5,9,106.957853,102.882876
Bzip2,ff_np,5,10,107.405742,102.277255
Bzip2,ff_np,6,9,123.758712,104.943632
Bzip2,ff_np,6,10,124.002866,125.458199
Bzip2,ff_np,7,9,130.612892,126.158341
Bzip2,ff_np,7,10,130.925353,124.838729
Bzip2,ff_np,8,9,137.805469,134.759565
Bzip2,ff_np,8,10,137.688573,134.68525
Bzip2,ff_np,9,9,144.534292,157.857645
Bzip2,ff_np,9,10,144.621471,140.854444
Bzip2,ff_np,10,9,150.904232,145.267875
Bzip2,ff_np,10,10,150.97363,145.610039
Bzip2,ff_np,11,9,157.083884,227.577572
Bzip2,ff_np,11,10,156.938593,168.785862
Bzip2,ff_np,12,9,162.5342,181.407252
Bzip2,ff_np,12,10,162.736361,160.627461
Bzip2,ff(Custom),1,9,22.931087,130.750097
Bzip2,ff(Custom),1,10,22.949512,130.639133
Bzip2,ff(Custom),2,9,45.634865,111.065619
Bzip2,ff(Custom),2,10,45.58936,122.265202
Bzip2,ff(Custom),3,9,67.333383,105.36657
Bzip2,ff(Custom),3,10,67.383687,111.041688
Bzip2,ff(Custom),4,9,88.163871,112.490644
Bzip2,ff(Custom),4,10,88.163975,102.158399
